Identificador, Temperatura, Presión, Altitud, Longitud(GPS), Latitud(GPS), Altitud(GPS), Acelerómetro X, acelerómetro Y, Acelerómetro Z, gyroscopio X, gyroscopio Y, gyroscopio Z, número de paquete
OMEGA,30.20,99118.99,185.31,0.00,0.00,0.00,-632,-6384,15556,1644,-2442,-568,1093
OMEGA,30.21,99121.76,185.07,0.00,0.00,0.00,-12396,-8424,6744,-17074,6534,27599,1094
OMEGA,30.21,99122.02,185.05,0.00,0.00,0.00,-15316,-5728,7284,6978,-1572,-9892,1095
OMEGA,30.23,99121.66,185.08,0.00,0.00,0.00,-10360,-6824,8800,2493,-1374,-3943,1096
OMEGA,30.24,99125.53,184.75,0.00,0.00,0.00,-13624,-6688,10044,-376,2055,-2205,1097
OMEGA,30.25,99119.83,185.24,0.00,0.00,0.00,-11824,-6776,7872,-2151,-4080,-2484,1098
OMEGA,30.24,99118.26,185.37,0.00,0.00,0.00,-12168,-7308,9780,-807,-1809,-3590,1099
OMEGA,30.26,99119.64,185.25,0.00,0.00,0.00,-12044,-6972,8484,-831,-1283,452,1100
OMEGA,30.26,99120.84,185.15,0.00,0.00,0.00,-12376,-7784,12616,571,-6099,721,1101
OMEGA,30.26,99118.53,185.34,0.00,0.00,0.00,-7960,-6640,12604,-2376,-3454,-1586,1102
OMEGA,30.27,99118.07,185.38,0.00,0.00,0.00,-9292,-6968,11296,-257,3681,3717,1103
OMEGA,30.28,99118.12,185.38,0.00,0.00,0.00,-10600,-5928,12416,167,528,-1406,1104
OMEGA,30.28,99118.61,185.34,0.00,0.00,0.00,-9564,-6536,12952,-1333,183,-467,1105
OMEGA,30.28,99115.71,185.59,0.00,0.00,0.00,-7696,-6184,11384,-291,-3806,-92,1106
OMEGA,30.30,99118.95,185.31,0.00,0.00,0.00,-8264,-7264,10812,715,-1855,14,1107
OMEGA,30.31,99117.88,185.40,0.00,0.00,0.00,-11552,-8672,11352,-276,2137,-1512,1108
OMEGA,30.32,99121.21,185.12,0.00,0.00,0.00,-9044,-7084,11656,71,509,749,1109
OMEGA,30.32,99119.19,185.29,0.00,0.00,0.00,-8600,-7428,11784,19,-2851,-335,1110
OMEGA,30.32,99119.72,185.24,0.00,0.00,0.00,-8744,-7492,10232,3188,-1445,-2041,1111
OMEGA,30.33,99122.25,185.03,0.00,0.00,0.00,-8308,-7884,8264,-1645,-2187,-351,1112
OMEGA,30.34,99120.80,185.15,0.00,0.00,0.00,-10992,-10860,12356,-783,957,-3169,1113
OMEGA,30.34,99122.28,185.03,0.00,0.00,0.00,-9140,-8148,9296,-1365,-2102,-1415,1114
OMEGA,30.36,99121.44,185.10,0.00,0.00,0.00,-12136,-8496,9588,-34,1813,554,1115
OMEGA,30.36,99122.66,185.00,0.00,0.00,0.00,-10724,-8756,9864,869,2244,-1563,1116
OMEGA,30.37,99117.76,185.41,0.00,0.00,0.00,-10152,-8812,10404,-2371,-1303,443,1117
OMEGA,30.38,99122.57,185.00,0.00,0.00,0.00,-10552,-8656,10140,-688,-1279,191,1118
OMEGA,30.38,99118.27,185.37,0.00,0.00,0.00,-10856,-8864,9600,187,523,-688,1119
OMEGA,30.39,99120.73,185.16,0.00,0.00,0.00,-10744,-8392,9988,-234,165,-30,1120
OMEGA,30.40,99121.11,185.13,0.00,0.00,0.00,-11068,-8264,10184,-589,975,836,1121
OMEGA,30.41,99123.07,184.96,0.00,0.00,0.00,-10436,-8184,9940,-792,-664,-186,1122
OMEGA,30.41,99122.59,185.00,0.00,0.00,0.00,-10972,-8640,10312,-643,741,692,1123
OMEGA,30.42,99121.48,185.10,0.00,0.00,0.00,-11064,-8880,10244,-367,349,-4,1124
OMEGA,30.43,99120.37,185.16,0.00,0.00,0.00,-11516,-8668,9868,-435,527,-164,1125
OMEGA,30.44,99125.01,184.80,0.00,0.00,0.00,-11464,-8968,10800,-40,1334,870,1126
OMEGA,30.44,99121.86,185.06,0.00,0.00,0.00,-10784,-7980,10508,-163,-337,-39,1127
OMEGA,30.46,99124.12,184.87,0.00,0.00,0.00,-10248,-7888,10384,-755,62,473,1128
OMEGA,30.46,99125.99,184.71,0.00,0.00,0.00,-10840,-8224,10188,-230,-168,647,1129
OMEGA,30.47,99126.02,184.71,0.00,0.00,0.00,-10936,-8100,10328,-483,1615,12,1130
OMEGA,30.47,99122.09,185.04,0.00,0.00,0.00,-11076,-7968,10232,-1841,-353,978,1131
OMEGA,30.48,99122.86,184.98,0.00,0.00,0.00,-12336,-8896,10888,-1074,483,968,1132
OMEGA,30.49,99120.73,184.87,0.00,0.00,0.00,-11184,-6476,9688,-4574,-3855,2462,1133
OMEGA,30.49,99124.39,184.85,0.00,0.00,0.00,-11856,-6472,9192,2109,5097,-5869,1134
OMEGA,30.51,99125.11,184.79,0.00,0.00,0.00,-6900,-8456,15688,2537,399,3527,1135
OMEGA,30.53,99125.86,184.72,0.00,0.00,0.00,-3984,-2916,16032,245,2894,2330,1136
OMEGA,30.53,99127.39,184.59,0.00,0.00,0.00,-4744,-484,16584,-563,17,-1697,1137
OMEGA,30.53,99128.16,184.53,0.00,0.00,0.00,-4448,-528,17524,-541,-1417,-542,1138
OMEGA,30.53,99127.30,184.60,0.00,0.00,0.00,-2264,92,17320,-929,-297,-1488,1139
OMEGA,30.54,99125.69,184.74,0.00,0.00,0.00,-2756,556,17844,-598,1237,-318,1140
OMEGA,30.55,99126.95,184.63,0.00,0.00,0.00,-2520,-116,18060,-1293,1389,2,1141
OMEGA,30.55,99124.53,184.84,0.00,0.00,0.00,-2388,268,18020,-238,376,386,1142
OMEGA,30.56,99124.66,184.83,0.00,0.00,0.00,-1556,520,17804,-1099,-33,-547,1143
OMEGA,30.55,99124.78,184.82,0.00,0.00,0.00,-1580,316,18268,-743,-760,-2333,1144
OMEGA,30.56,99124.90,184.81,0.00,0.00,0.00,-536,724,18324,-393,594,-3586,1145
OMEGA,30.57,99126.87,184.64,0.00,0.00,0.00,-892,788,17508,1442,37,-666,1146
OMEGA,30.57,99122.22,185.03,0.00,0.00,0.00,-1084,800,15436,-1604,-1582,-3642,1147
OMEGA,30.57,99124.34,184.85,0.00,0.00,0.00,-412,112,17616,1683,764,4082,1148
OMEGA,30.57,99122.73,184.99,0.00,0.00,0.00,564,988,17592,1007,-433,1503,1149
OMEGA,30.58,99124.55,184.83,0.00,0.00,0.00,0,-1140,17132,-575,-161,-186,1150
OMEGA,30.58,99124.13,184.87,0.00,0.00,0.00,-480,-952,17560,-2977,-1152,-3628,1151
OMEGA,30.59,99122.16,185.04,0.00,0.00,0.00,824,-816,17844,-1360,-1602,-1410,1152
OMEGA,30.59,99125.06,184.79,0.00,0.00,0.00,-508,-756,18632,-572,1513,4973,1153
OMEGA,30.60,99124.50,184.84,0.00,0.00,0.00,652,-1044,19292,577,-1409,-1392,1154
OMEGA,30.60,99122.33,185.03,0.00,0.00,0.00,-736,-540,17916,-4255,2454,4840,1155
OMEGA,30.61,99124.66,184.83,0.00,0.00,0.00,-340,608,18348,1052,-3126,-2367,1156
OMEGA,30.61,99122.77,184.99,0.00,0.00,0.00,164,612,19836,713,1813,315,1157
OMEGA,30.61,99118.98,185.31,0.00,0.00,0.00,1992,128,15584,1019,-1265,-2870,1158
OMEGA,30.62,99123.84,184.90,0.00,0.00,0.00,800,-272,18428,615,627,-2431,1159
OMEGA,30.62,99123.34,184.94,0.00,0.00,0.00,-112,-20,17840,348,55,517,1160
OMEGA,30.62,99118.89,185.09,0.00,0.00,0.00,1000,-340,15840,-1179,-2117,-1448,1161
OMEGA,30.63,99124.91,184.81,0.00,0.00,0.00,644,-428,18296,-1688,4034,3956,1162
OMEGA,30.63,99124.73,184.82,0.00,0.00,0.00,-284,-148,18000,902,593,-5195,1163
OMEGA,30.63,99121.97,185.05,0.00,0.00,0.00,-168,168,18620,-1403,-457,-49,1164
OMEGA,30.63,99119.53,185.26,0.00,0.00,0.00,724,-528,17748,-19,547,254,1165
OMEGA,30.63,99117.91,185.40,0.00,0.00,0.00,748,256,18304,-2663,-2366,1507,1166
OMEGA,30.62,99119.07,185.30,0.00,0.00,0.00,488,1264,17388,2853,76,-1349,1167
OMEGA,30.61,99117.15,185.46,0.00,0.00,0.00,-504,-408,17984,-1187,58,2811,1168
OMEGA,30.61,99117.48,185.43,0.00,0.00,0.00,1264,520,18448,-576,412,441,1169
OMEGA,30.61,99117.67,185.42,0.00,0.00,0.00,-88,1384,18584,-53,1923,1430,1170
OMEGA,30.63,99118.34,185.36,0.00,0.00,0.00,-140,540,18064,139,-276,-318,1171
OMEGA,30.63,99116.63,185.51,0.00,0.00,0.00,340,696,17896,-255,566,76,1172
OMEGA,30.62,99116.38,185.53,0.00,0.00,0.00,220,928,18168,-446,376,360,1173
OMEGA,30.63,99117.31,185.45,0.00,0.00,0.00,428,920,17740,-1038,303,-247,1174
OMEGA,30.64,99119.69,185.25,0.00,0.00,0.00,-1356,260,18868,39,1130,7576,1175
OMEGA,30.63,99115.31,185.40,0.00,0.00,0.00,1384,-712,18536,3078,-7893,-4238,1176
OMEGA,30.64,99120.20,185.20,0.00,0.00,0.00,852,3624,18560,8104,4300,2218,1177
OMEGA,30.64,99115.56,185.60,0.00,0.00,0.00,820,-1572,18116,-6558,4179,-209,1178
OMEGA,30.63,99117.27,185.45,0.00,0.00,0.00,976,-1056,16984,-1846,145,-2590,1179
OMEGA,30.65,99117.91,185.40,0.00,0.00,0.00,-2084,-1584,18028,3229,420,3539,1180
OMEGA,30.65,99115.90,185.57,0.00,0.00,0.00,-6244,-928,19144,-2341,6589,9632,1181
OMEGA,30.65,99116.50,185.52,0.00,0.00,0.00,-10076,5248,11564,-11164,450,843,1182
OMEGA,30.65,99117.95,185.40,0.00,0.00,0.00,-4144,11948,9948,-3416,5240,59,1183
OMEGA,30.65,99116.95,185.48,0.00,0.00,0.00,-4976,-316,20836,-4626,-6650,-9726,1184
OMEGA,30.65,99114.88,185.66,0.00,0.00,0.00,-8140,3520,11640,12695,-1946,-6984,1185
OMEGA,30.66,99117.38,185.44,0.00,0.00,0.00,-5160,444,14208,7703,-8956,-6207,1186
OMEGA,30.67,99122.78,184.99,0.00,0.00,0.00,-1072,-1852,24164,1179,-7823,2520,1187
OMEGA,30.67,99117.97,185.39,0.00,0.00,0.00,-3160,-208,16632,-4569,1480,-1273,1188
OMEGA,30.67,99120.44,185.18,0.00,0.00,0.00,-2428,-4944,18596,-4778,2774,4258,1189
OMEGA,30.67,99123.84,184.90,0.00,0.00,0.00,-4720,-5428,20740,2057,-3718,9742,1190
OMEGA,30.68,99123.42,184.93,0.00,0.00,0.00,-8168,-904,18528,-1234,-3710,-5490,1191
OMEGA,30.69,99125.38,184.77,0.00,0.00,0.00,-3796,-3564,18504,3412,-19434,-16024,1192
OMEGA,30.69,99122.01,185.05,0.00,0.00,0.00,-3364,-2160,16736,-5091,19445,11833,1193
OMEGA,30.70,99120.08,185.22,0.00,0.00,0.00,-5280,-2348,17984,-1393,2499,-3122,1194
OMEGA,30.70,99118.86,185.32,0.00,0.00,0.00,-408,1428,15132,2491,-4339,3393,1195
OMEGA,30.70,99120.59,185.17,0.00,0.00,0.00,8872,2896,16276,2401,5167,6038,1196
OMEGA,30.70,99116.66,185.50,0.00,0.00,0.00,788,2892,12640,1984,12628,14442,1197
OMEGA,30.70,99118.33,185.36,0.00,0.00,0.00,-4448,-3316,20756,3048,1858,6067,1198
OMEGA,30.70,99120.23,185.20,0.00,0.00,0.00,-12120,5820,7964,12663,-3750,-5847,1199
OMEGA,30.71,99117.44,185.44,0.00,0.00,0.00,-11152,5360,8664,-12189,-15226,-1899,1200
OMEGA,30.71,99117.61,185.42,0.00,0.00,0.00,-6936,-4060,21084,13353,-17644,-18203,1201
OMEGA,30.71,99117.30,185.45,0.00,0.00,0.00,-10048,-4272,23044,739,4083,1508,1202
OMEGA,30.71,99115.30,185.62,0.00,0.00,0.00,-7116,-6340,16364,-9515,-12793,-15728,1203
OMEGA,30.72,99117.05,185.47,0.00,0.00,0.00,-6656,-2784,11892,1017,7715,9983,1204
OMEGA,30.72,99116.91,185.48,0.00,0.00,0.00,-12692,1396,9756,1555,-8789,-6522,1205
OMEGA,30.73,99118.73,185.33,0.00,0.00,0.00,-3832,-2564,12104,-8680,-5124,-28897,1206
OMEGA,30.74,99121.34,185.11,0.00,0.00,0.00,-9556,-4752,12184,2819,1965,-1325,1207
OMEGA,30.74,99120.88,185.15,0.00,0.00,0.00,-1176,-3956,15452,500,-7816,2375,1208
OMEGA,30.74,99121.34,185.11,0.00,0.00,0.00,-2152,-4148,15768,547,2069,2602,1209
OMEGA,30.75,99123.80,185.20,0.00,0.00,0.00,-4164,-4360,15568,-349,-89,2345,1210
OMEGA,30.75,99122.05,185.05,0.00,0.00,0.00,-4852,-4208,18076,-1959,1507,-434,1211
OMEGA,30.75,99123.63,184.91,0.00,0.00,0.00,-5356,-3840,14692,-1660,-6376,-56,1212
OMEGA,30.76,99118.55,185.34,0.00,0.00,0.00,-4404,-4208,17348,636,1575,597,1213
OMEGA,30.77,99120.52,185.18,0.00,0.00,0.00,-3736,-5004,15104,200,-730,1204,1214
OMEGA,30.77,99117.98,185.39,0.00,0.00,0.00,-4544,-4940,17632,-193,2498,570,1215
OMEGA,30.77,99117.66,185.42,0.00,0.00,0.00,-3784,-4280,15188,517,-4027,318,1216
OMEGA,30.77,99120.45,185.18,0.00,0.00,0.00,-5672,-4900,14736,-1881,658,-1780,1217
OMEGA,30.77,99116.11,185.55,0.00,0.00,0.00,-8640,-5680,16408,-1272,1598,2664,1218
OMEGA,30.77,99116.80,185.49,0.00,0.00,0.00,-2212,-3324,18236,787,1905,4273,1219
OMEGA,30.77,99119.09,185.30,0.00,0.00,0.00,-6652,4556,13684,16407,11433,5922,1220
OMEGA,30.77,99116.88,185.48,0.00,0.00,0.00,-4844,-6212,12896,-12455,-12212,-11253,1221
OMEGA,30.79,99124.00,184.88,0.00,0.00,0.00,44,-16016,10672,-10957,-426,-1574,1222
OMEGA,30.79,99124.67,184.83,0.00,0.00,0.00,1504,-15984,4292,594,-3332,4011,1223
OMEGA,30.80,99129.58,184.41,0.00,0.00,0.00,-124,-16440,5732,-1363,7213,1314,1224
OMEGA,30.80,99125.09,184.79,0.00,0.00,0.00,-600,-16300,4792,410,2277,-523,1225
OMEGA,30.80,99125.25,184.78,0.00,0.00,0.00,-904,-16740,3888,-1616,342,325,1226
